LossBefore,AveragePolicyStd,MaxKL,LossAfter,AverageReturn,MeanKL,NumTrajs,ItrTime,ExplainedVariance,StdReturn,MaxReturn,Time,Perplexity,Entropy,MinReturn
-0.0112963,1.00032,0.228961,-0.0350069,200.5,0.0452152,200,16.21107316017151,0.484738532344,444.578170854,2000.0,16.21106719970703,17.0823,2.83804,0.0
-0.0236054,0.994628,0.0468463,-0.0358005,658.0,0.0118888,200,16.04981303215027,0.669739909561,699.597026866,2300.0,32.47650361061096,16.8904,2.82675,0.0
-0.0103102,0.988729,0.0718437,-0.0308433,950.0,0.020857,200,16.275612354278564,0.639555049008,743.03431953,2500.0,48.958962202072144,16.6923,2.81495,0.0
-0.0311753,0.986237,0.0650982,-0.0483403,1307.0,0.0194732,200,16.121236562728882,0.718468263286,682.386254258,2800.0,65.2718756198883,16.6064,2.80979,0.0
-0.0528671,0.978658,0.0411546,-0.0662462,1566.5,0.0146133,200,16.14817476272583,0.791515122616,602.766745931,2700.0,81.61154508590698,16.3496,2.7942,0.0
-0.051206,0.965806,0.129075,-0.0726778,1674.5,0.0281157,200,16.26712155342102,0.816300893882,533.478912423,2900.0,98.04657125473022,15.9231,2.76777,0.0
-0.0574406,0.953542,0.12528,-0.0793791,1995.0,0.0343771,200,16.209516048431396,0.883466873369,496.663870238,2800.0,114.48183155059814,15.5206,2.74217,0.0
-0.0619512,0.939884,0.0984806,-0.0803947,2196.5,0.0300065,200,16.14071822166443,0.923728173815,369.374809645,2800.0,130.82175278663635,15.0812,2.71345,700.0
-0.0485066,0.925602,0.116325,-0.0686526,2312.5,0.0381165,200,16.25903606414795,0.943277349496,313.039534244,2900.0,147.28883910179138,14.6212,2.68247,1300.0
-0.0405087,0.914426,0.100149,-0.0575829,2403.5,0.034087,200,16.40084147453308,0.96034744886,270.809434843,2800.0,163.91924953460693,14.2708,2.65822,1200.0
-0.0513291,0.905306,0.0656904,-0.0634822,2501.0,0.0229305,200,16.04745054244995,0.980979668922,226.27196026,3000.0,180.17128443717957,13.9847,2.63796,1100.0
-0.0407975,0.893893,0.115653,-0.0534455,2561.5,0.0275922,200,16.159186363220215,0.988302284491,178.515405498,3000.0,196.70414471626282,13.6303,2.6123,1800.0
-0.0321747,0.884916,0.156066,-0.047492,2596.0,0.044625,200,16.65918755531311,0.990013455456,165.17869112,2900.0,213.58509922027588,13.3551,2.5919,2100.0
-0.037749,0.877779,0.0427922,-0.0434737,2606.5,0.014807,200,16.29399275779724,0.990507080601,168.54598779,2900.0,230.11554861068726,13.142,2.57581,2000.0
-0.0171226,0.869523,0.0187627,-0.0191098,2618.0,0.00347694,200,16.16144609451294,0.991073380565,160.237323992,3000.0,246.48856782913208,12.8963,2.55694,2200.0
-0.0147156,0.865766,0.0477005,-0.0196818,2610.5,0.0117405,200,16.098198175430298,0.991399011965,147.444057188,2900.0,262.7682204246521,12.7863,2.54838,2100.0
-0.0322838,0.862476,0.0901036,-0.0408973,2615.5,0.0253332,200,16.371558904647827,0.991851856819,151.359670983,2900.0,279.33322405815125,12.6926,2.54102,2200.0
-0.0163891,0.855602,0.0208261,-0.0185703,2627.5,0.00585566,200,16.442354679107666,0.991980275391,139.261444772,3000.0,295.96598386764526,12.4893,2.52488,2200.0
-0.0233315,0.852033,0.0371289,-0.0271794,2646.0,0.00971545,200,16.486207723617554,0.99342569561,131.087756865,2900.0,312.64140605926514,12.3874,2.51668,2300.0
-0.0028495,0.847129,0.00528862,-0.00381842,2657.0,0.00136644,200,16.336745023727417,0.99323577522,133.232878825,3000.0,329.1704399585724,12.2438,2.50502,2300.0
-0.0125187,0.846548,0.143333,-0.0182913,2653.0,0.0209114,200,16.420659065246582,0.993780959016,132.253544376,2900.0,345.7932288646698,12.2263,2.50359,2200.0
-0.00875916,0.843786,0.0154914,-0.0104503,2653.5,0.00430633,200,16.325618982315063,0.99376986951,134.118417825,3000.0,362.3010756969452,12.15,2.49733,2000.0
-0.0177149,0.841902,0.125911,-0.0237825,2676.5,0.0273174,200,16.398083925247192,0.994857346681,115.315870547,3000.0,379.01668429374695,12.0969,2.49295,2400.0
0.00463967,0.838323,0.0393306,0.0021872,2668.0,0.00766709,200,16.450414180755615,0.99465682004,119.48221625,2900.0,395.652042388916,11.9903,2.4841,2100.0
0.0147113,0.839346,0.0896614,0.00742259,2663.0,0.016654,200,16.194260835647583,0.993736360211,133.532767514,3000.0,412.04144191741943,12.0181,2.48642,2000.0
-0.0205664,0.842615,0.0543764,-0.0255227,2676.0,0.0156468,200,16.24095106124878,0.993655799847,124.595345017,2900.0,428.49766302108765,12.1068,2.49377,2000.0
0.000741178,0.838369,0.0195759,-0.00169652,2658.5,0.00602279,200,16.38694453239441,0.993806802075,126.995078645,3000.0,445.06490421295166,11.983,2.48349,2300.0
-0.0155512,0.838515,0.285099,-0.0273543,2663.5,0.0613148,200,16.348493337631226,0.993006220617,132.731872585,3000.0,461.6085181236267,11.9874,2.48386,2300.0
-0.00796388,0.835319,0.022874,-0.00929805,2678.5,0.00539578,200,16.40977668762207,0.994370285091,124.047369984,3000.0,478.22106552124023,11.8946,2.47608,2400.0
-0.000204582,0.833581,0.0186102,-0.00188337,2685.0,0.00328238,200,16.501856803894043,0.995023779878,118.215904175,2900.0,494.9272708892822,11.8473,2.4721,2400.0
0.00164555,0.833618,0.0275724,0.000242557,2678.5,0.00251123,200,16.31653356552124,0.994974223629,114.401704533,2900.0,511.430433511734,11.8461,2.472,2400.0
0.0068561,0.834023,0.00195065,0.00633453,2669.0,0.000263588,200,16.352364778518677,0.994849843453,123.040643691,2900.0,527.9702520370483,11.8558,2.47282,2300.0
-0.0122214,0.835469,0.0566225,-0.015326,2678.0,0.0145053,200,16.35169744491577,0.994162015641,124.963994815,3000.0,544.5122375488281,11.8966,2.47625,2300.0
-0.0033804,0.832802,0.0950642,-0.00750095,2671.0,0.0204624,200,16.606709003448486,0.994720084398,116.871724553,3100.0,561.4410834312439,11.8241,2.47014,2300.0
-0.0120702,0.832096,0.0062785,-0.012638,2685.5,0.00124508,200,16.11452841758728,0.994603199024,116.789340267,3000.0,577.7558078765869,11.8041,2.46845,2300.0
0.000516862,0.829639,0.0725151,-0.00619584,2667.5,0.0195083,200,16.27541160583496,0.994356901568,123.66790206,3000.0,594.2345023155212,11.7331,2.46241,2300.0
-0.0123374,0.829707,0.123784,-0.0164694,2687.0,0.0228446,200,16.284751653671265,0.994243450729,118.02965729,3000.0,610.7154171466827,11.7361,2.46267,2200.0
0.000583449,0.827117,0.0109237,-0.000992149,2678.5,0.00249907,200,16.23526620864868,0.995049243707,113.524226489,2900.0,627.1697161197662,11.6639,2.4565,2400.0
0.000756795,0.827376,0.0954365,-0.00390772,2685.5,0.0144225,200,16.27361249923706,0.995253756523,117.2166797,3000.0,643.6308169364929,11.6674,2.45679,2400.0
-0.00170685,0.82753,0.0379974,-0.00353935,2679.5,0.0104445,200,16.238239526748657,0.994538161548,113.26848635,2900.0,660.067946434021,11.6718,2.45717,2300.0
-0.00989021,0.827172,0.0434789,-0.0143074,2689.5,0.0123989,200,16.1985867023468,0.994974272077,122.228270052,3000.0,676.4550430774689,11.6618,2.45632,2200.0
-0.0141842,0.825095,0.0366979,-0.0162126,2669.5,0.00897939,200,16.537899494171143,0.994667453195,114.104119119,3000.0,693.1994588375092,11.6043,2.45137,2400.0
-0.0174216,0.822179,0.00824136,-0.0187541,2671.0,0.00247362,200,16.53405475616455,0.995282537141,107.046718773,2900.0,709.9118809700012,11.5223,2.44428,2400.0
-0.012352,0.818795,0.0214335,-0.0136367,2686.5,0.00351606,200,16.536413192749023,0.994815656045,114.750816991,3000.0,726.6410055160522,11.4223,2.43557,2300.0
-0.000861427,0.816246,0.0416186,-0.00337914,2682.5,0.0066661,200,16.22403311729431,0.995775233366,101.2114124,2900.0,743.1698534488678,11.352,2.4294,2400.0
-0.0085283,0.816233,0.0323064,-0.0117543,2683.0,0.00818955,200,16.230653285980225,0.995703443,112.743070741,2900.0,759.5842537879944,11.3471,2.42897,2400.0
0.0149569,0.814362,0.00470786,0.0143939,2681.0,0.000641954,200,16.36221194267273,0.995116973679,111.081051489,2900.0,776.1511306762695,11.2989,2.4247,2300.0
-0.00375728,0.817491,0.176962,-0.0112129,2691.0,0.0374305,200,16.190510272979736,0.995253982908,114.973910084,3000.0,792.536509513855,11.3837,2.43218,2400.0
-0.0137401,0.816833,0.00701284,-0.01483,2678.0,0.00155415,200,16.291364192962646,0.994629806782,129.290370871,3000.0,809.0188646316528,11.3623,2.4303,2200.0
-0.00248078,0.814095,0.0523672,-0.00514008,2700.5,0.0145051,200,16.136319875717163,0.995625175835,112.025666702,3000.0,825.3496286869049,11.2845,2.42343,2400.0
