0AveragePolicyStd,1AveragePolicyStd,1StdReturn,0StdReturn,MeanKL,1NumTrajs,0PolicyExecTime,1MaxReturn,ItrTime,dLoss,1Perplexity,0EnvExecTime,LossAfter,0MaxReturn,1PolicyExecTime,0AverageReturn,MeanKLBefore,Time,1ProcessExecTime,0NumTrajs,0ProcessExecTime,ComputeUpdatedDistTime,1EnvExecTime,0Perplexity,0MinReturn,LossBefore,0ExplainedVariance,1ExplainedVariance,1MinReturn,1Entropy,1AverageReturn,0Entropy
1.0,0.999655,0.0,15.7797338381,-3.87080867359e-10,400,22.31476354598999,0.0,213.17700290679932,0.0,17.0676,48.15588569641113,0.0,300.0,65.73320984840393,1.0,-3.2305266795e-10,213.17699718475342,1.9730303287506104,400,1.9716544151306152,6.505212783813477,49.180054903030396,17.0795,0.0,0.0,0.00215442496785,1,0.0,2.83718,0.0,2.83788
1.0,1.00036,0.0,19.9749843554,-9.31322519104e-11,400,23.439226627349854,0.0,202.88889956474304,0.0,17.0918,47.84509754180908,0.0,400.0,63.89849376678467,1.0,-3.02679853403e-10,417.17603850364685,1.7781562805175781,400,1.8638637065887451,0.4259374141693115,48.960294246673584,17.0795,0.0,0.0,0.0133584887904,1,0.0,2.8386,0.0,2.83788
1.0,0.999627,42.9818275554,21.1601039695,5.8480509324e-10,400,22.96372961997986,500.0,196.8165898323059,-2.32830421609e-11,17.0666,47.30511713027954,-3.84170584233e-10,300.0,63.684818267822266,1.5,9.31141108662e-10,615.178729057312,1.8745222091674805,400,1.858530044555664,0.40737032890319824,49.28732180595398,17.0795,0.0,-4.07453626394e-10,0.00246035665888,0.00366322980174,0.0,2.83712,5.25,2.83788
1.0,1.00059,24.9386747844,20.5775970414,9.77888880982e-10,400,23.026708126068115,400.0,211.4633276462555,-9.31322623188e-11,17.0996,47.70945501327515,1.39698391743e-10,400.0,72.24302959442139,1.25,8.38190239438e-10,827.8428223133087,1.944136381149292,400,1.9462032318115234,0.45357370376586914,51.70763278007507,17.0795,0.0,4.65661294247e-11,0.00162521779883,0.00139003353526,0.0,2.83905,1.75,2.83788
1.0,0.999926,14.9812382666,9.98749217772,6.04105389357e-06,400,22.22488045692444,300.0,209.17248106002808,5.02914199174e-09,17.0769,49.2359983921051,-5.02914199174e-09,200.0,72.9395227432251,0.5,2.32830595082e-11,1038.2512323856354,2.0298125743865967,400,1.9727418422698975,0.4136655330657959,51.78837609291077,17.0795,0.0,0.0,0.0017174300415,0.00171999436345,0.0,2.83772,0.75,2.83788
1.0,1.00016,26.8688946553,19.9749843554,1.16415335705e-10,400,24.444284677505493,500.0,215.77796030044556,0.0,17.0851,49.439871072769165,4.65661287308e-10,400.0,73.5027928352356,1.0,2.79396783487e-10,1255.3259613513947,1.9940152168273926,400,1.9678449630737305,0.4187793731689453,51.40151286125183,17.0795,0.0,4.65661287308e-10,0.00184518864298,0.0052700975645,0.0,2.83821,1.75,2.83788
1.0,0.999914,0.0,24.9687304443,-1.45519096773e-10,400,20.235432147979736,0.0,208.8994641304016,0.0,17.0765,49.72562551498413,0.0,500.0,71.56174850463867,1.25,-2.32830577734e-11,1465.563797712326,2.0879743099212646,400,1.9382667541503906,1.0512917041778564,51.95807456970215,17.0795,0.0,0.0,0.00152146062065,1,0.0,2.8377,0.0,2.83788
1.0,0.999762,0.0,17.9843682124,-3.95811911025e-10,400,30.089881896972656,0.0,221.29903149604797,0.0,17.0713,50.27960157394409,0.0,300.0,73.23312020301819,1.25,-1.51339940579e-10,1688.1263077259064,2.1357948780059814,400,1.988114833831787,0.4499678611755371,52.57953643798828,17.0795,0.0,0.0,0.00280571048826,1,0.0,2.8374,0.0,2.83788
1.0,1.00057,0.0,9.98749217772,-4.19095147475e-10,400,31.729816198349,0.0,223.84742975234985,0.0,17.0987,49.95335245132446,0.0,200.0,67.64333438873291,0.5,-6.28642748968e-10,1913.2196161746979,1.969162940979004,400,2.056058406829834,0.5045630931854248,50.81450533866882,17.0795,0.0,0.0,0.00214091518754,1,0.0,2.839,0.0,2.83788
1.0,0.999867,24.9386747844,26.8688946553,1.74623052129e-10,400,19.071486949920654,400.0,199.34665989875793,-9.3132279666e-11,17.0749,47.840553522109985,4.1909517523e-10,500.0,67.9595160484314,1.75,-5.87897108772e-09,2113.8086693286896,2.0385994911193848,400,1.884892463684082,0.4198307991027832,49.55384111404419,17.0795,0.0,3.25962895564e-10,0.00149616697211,0.00115073414553,0.0,2.83761,1.75,2.83788
1.0,1.00038,9.98749217772,17.9843682124,1.49884687994e-10,400,24.37134861946106,200.0,202.6111979484558,9.31322657882e-11,17.0924,47.70241403579712,1.86264517699e-10,300.0,67.2943480014801,1.25,-2.2409958611e-10,2317.5482308864594,1.8640024662017822,400,1.8945999145507812,1.0126442909240723,48.760305881500244,17.0795,0.0,2.79396783487e-10,0.00366021907587,0.00156261845053,0.0,2.83863,0.5,2.83788
1.0,1.0,0.0,0.0,0.0,400,21.660136461257935,0.0,198.66319918632507,0.0,17.0795,47.74564790725708,0.0,0.0,64.65506744384766,0.0,0.0,2517.3983013629913,2.030986785888672,400,1.8758797645568848,0.42708539962768555,49.22901391983032,17.0795,0.0,0.0,1,1,0.0,2.83788,0.0,2.83788
1.0,1.00013,0.0,29.9624765332,1.16415340909e-11,400,25.695589780807495,0.0,202.8180341720581,0.0,17.0838,47.68479871749878,0.0,600.0,64.01333904266357,1.5,-2.91038252526e-11,2721.4067809581757,1.9408116340637207,400,1.931605577468872,0.43880701065063477,49.69069528579712,17.0795,0.0,0.0,0.00182011286297,1,0.0,2.83813,0.0,2.83788
1.0,1.0,19.9749843554,0.0,0.00957680493593,400,30.11493229866028,400.0,204.6428017616272,7.96409600298e-05,17.0795,48.4166579246521,-7.96408203314e-05,0.0,63.844399213790894,0.0,0.0,2927.2375094890594,1.9447920322418213,400,1.9176065921783447,0.43114161491394043,49.573458194732666,17.0795,0.0,1.39698391743e-10,1,0.00181286687387,0.0,2.83788,1.0,2.83788
0.99667,0.997017,23.8733638183,31.9364603549,-5.72763436679e-09,400,25.32830262184143,300.0,202.62353777885437,-4.65661120774e-11,16.9774,48.01059865951538,2.79396783487e-10,500.0,65.35939240455627,2.25,2.56113658059e-10,3131.0750844478607,2.0225512981414795,400,1.9363415241241455,0.39337921142578125,49.29581952095032,16.9656,0.0,2.32830671409e-10,0.00142786663197,0.00441084155368,0.0,2.83188,2.25,2.83119
0.99667,0.99667,0.0,0.0,0.0,400,26.17031979560852,0.0,201.11275124549866,0.0,16.9656,47.27289628982544,0.0,0.0,64.35896873474121,0.0,0.0,3333.4084413051605,1.993886947631836,400,1.959557294845581,0.43254590034484863,48.79210305213928,16.9656,0.0,0.0,1,1,0.0,2.83119,0.0,2.83119
0.99667,0.996857,19.9749843554,4.99374608886,1.16415335705e-10,400,24.821736335754395,400.0,208.6562054157257,-1.39698388274e-10,16.972,47.578041315078735,9.31322588493e-11,100.0,64.66554665565491,0.25,-1.16415321827e-10,3543.2524375915527,1.9355871677398682,400,1.8527565002441406,0.47326064109802246,48.83918905258179,16.9656,0.0,-4.65661294247e-11,0.00138432057731,0.0010657934205,0.0,2.83156,1.0,2.83119
0.99667,0.996859,44.9437147997,29.0860791445,-2.91038249056e-10,400,22.402810096740723,900.0,198.29735136032104,1.25146476515e-10,16.9721,47.38460564613342,-1.94995672387e-10,500.0,65.24901294708252,2.0,-1.33877617325e-10,3742.79892039299,1.8982901573181152,400,1.8821909427642822,0.40483951568603516,48.845704555511475,16.9656,0.0,-6.98491958717e-11,0.00196011337058,0.0131255510067,0.0,2.83157,2.25,2.83119
0.99667,0.99667,0.0,0.0,0.0,400,24.55841636657715,0.0,186.85292887687683,0.0,16.9656,45.50796365737915,0.0,0.0,57.62807631492615,0.0,0.0,3930.8671202659607,1.7269132137298584,400,1.724353551864624,0.4004397392272949,46.12235927581787,16.9656,0.0,0.0,1,1,0.0,2.83119,0.0,2.83119
0.99667,0.997268,20.5775970414,45.0,-9.77888103826e-10,400,18.96732807159424,400.0,182.57098150253296,-1.39698391743e-10,16.9856,45.09926128387451,2.79396783487e-10,700.0,58.02100229263306,5.0,-6.98492153006e-10,4115.268245458603,1.825589656829834,400,1.898285150527954,0.4388554096221924,46.59882688522339,16.9656,0.0,1.39698391743e-10,0.0195965982771,0.00181682068028,0.0,2.83237,1.25,2.83119
0.99667,0.996952,0.0,9.98749217772,-2.32830595082e-11,400,23.781923055648804,0.0,192.33291363716125,0.0,16.9752,47.79295587539673,0.0,200.0,59.68442916870117,0.5,-1.57160687242e-10,4308.95237660408,1.9125134944915771,400,1.9306962490081787,0.3982722759246826,47.28781056404114,16.9656,0.0,0.0,0.00170981354952,1,0.0,2.83175,0.0,2.83119
0.99667,0.996785,31.8972961237,17.9843682124,4.65661259552e-11,400,22.856122255325317,400.0,187.61820769309998,4.65660843219e-11,16.9695,45.38565182685852,-7.68341112956e-10,300.0,55.4316725730896,1.25,-1.6298146166e-10,4497.6765303611755,1.8001928329467773,400,1.7884366512298584,0.38362908363342285,46.3885931968689,16.9656,0.0,-7.21775028634e-10,0.0024900587333,0.00995323155968,0.0,2.83142,2.75,2.83119
0.99667,0.996621,0.0,7.05336798983,-1.16415349583e-10,400,19.34400248527527,0.0,179.50948762893677,0.0,16.9639,44.732688188552856,0.0,100.0,56.328837394714355,0.5,2.56113685815e-10,4678.3156995773315,1.8076865673065186,400,1.7341585159301758,0.4253518581390381,45.77420377731323,16.9656,0.0,0.0,0.00261050305853,1,0.0,2.83109,0.0,2.83119
0.99667,0.99667,4.99374608886,0.0,0.00793906766921,400,22.38348078727722,100.0,177.04831051826477,0.000102832206176,16.9656,46.85772895812988,-0.000102832636912,0.0,51.387516260147095,0.0,0.0,4856.577831983566,1.7078852653503418,400,1.9227163791656494,0.43270301818847656,44.38725256919861,16.9656,0.0,-4.30736696311e-10,1,0.0018378271145,0.0,2.83119,0.25,2.83119
0.999236,0.999465,12.2065556157,29.0473750966,6.9849187545e-10,400,15.840699434280396,200.0,176.4054946899414,1.38777878078e-17,17.0609,43.466469526290894,1.39698363988e-10,400.0,57.99984526634216,2.5,3.45753470299e-09,5034.030042648315,1.7796883583068848,400,1.6094670295715332,0.47325658798217773,46.09927415847778,17.0532,0.0,1.39698377866e-10,0.00269247551873,0.00254802439345,0.0,2.83679,1.0,2.83634
0.999236,0.998931,0.0,14.9812382666,2.32830595082e-11,400,15.75490665435791,0.0,172.67695903778076,0.0,17.0427,43.402074575424194,0.0,300.0,52.96990466117859,0.75,-9.31322380326e-11,5207.987176179886,1.614891529083252,400,1.6573681831359863,0.42569994926452637,43.75114989280701,17.0532,0.0,0.0,0.00149747769436,1,0.0,2.83572,0.0,2.83634
0.999236,0.999592,35.5589299614,19.9749843554,-9.31322657882e-11,400,14.432552576065063,500.0,176.91263365745544,-2.32830671409e-10,17.0653,43.67825436592102,2.77555756156e-17,400.0,55.1635639667511,1.0,-1.74622996618e-10,5385.972988605499,1.7597873210906982,400,1.6770713329315186,0.3973429203033447,46.45536947250366,17.0532,0.0,-2.32830643654e-10,0.00159759251339,0.00780888026033,0.0,2.83704,3.25,2.83634
0.999236,0.999479,19.9749843554,30.36342372,4.77302863899e-10,400,18.209880113601685,400.0,176.54613041877747,-1.30967240525e-10,17.0614,44.92479205131531,9.74978361934e-11,600.0,54.179137229919434,1.75,5.82076678524e-11,5563.623820543289,1.7516636848449707,400,1.745664358139038,0.4170379638671875,45.88661217689514,17.0532,0.0,-3.34694043314e-11,0.0116748155089,0.00282823816242,0.0,2.83682,1.0,2.83634
0.999236,0.999873,0.0,14.9812382666,0.0,400,21.452768325805664,0.0,181.49793219566345,0.0,17.0748,45.148808002471924,0.0,300.0,53.94912385940552,0.75,-3.25962895564e-10,5746.987638711929,1.7968204021453857,400,1.8739278316497803,0.42350006103515625,46.28689360618591,17.0532,0.0,0.0,0.00177251072141,1,0.0,2.8376,0.0,2.83634
0.999236,1.00039,19.9749843554,39.1663120551,2.68337352338e-09,400,14.280893564224243,400.0,168.68846678733826,0.0,17.0922,43.53236103057861,4.65661294247e-11,500.0,54.159934997558594,4.0,2.83471113249e-09,5916.841103315353,1.6805121898651123,400,1.6901850700378418,0.47070860862731934,43.76112914085388,17.0532,0.0,4.65661294247e-11,0.0139937450503,0.000970674988844,0.0,2.83862,1.0,2.83634
0.999236,0.999039,0.0,4.99374608886,-4.65661224858e-11,400,16.178548574447632,0.0,168.91710782051086,0.0,17.0464,43.38835000991821,0.0,100.0,53.61257219314575,0.25,-2.56113685815e-10,6086.855990886688,1.6301283836364746,400,1.6826560497283936,0.3774697780609131,43.76963949203491,17.0532,0.0,0.0,0.00108210364741,1,0.0,2.83594,0.0,2.83634
0.999236,0.999122,21.1601039695,22.8459515013,2.77586832453e-06,400,13.187623739242554,300.0,166.4428677558899,3.49245979359e-09,17.0492,43.691113233566284,-3.35276140184e-09,400.0,54.276796102523804,1.75,1.86264531576e-10,6254.442223787308,1.6638586521148682,400,1.7148017883300781,0.38946962356567383,44.102004528045654,17.0532,0.0,1.39698391743e-10,0.00198159659683,0.00209538050186,0.0,2.8361,1.5,2.83634
0.999236,0.999236,0.0,0.0,0.0,400,17.299073934555054,0.0,178.8514051437378,0.0,17.0532,45.484922885894775,0.0,0.0,57.14284157752991,0.0,0.0,6434.494093418121,1.7037022113800049,400,1.7268664836883545,0.41100406646728516,45.70409440994263,17.0532,0.0,0.0,1,1,0.0,2.83634,0.0,2.83634
0.999236,0.999742,33.465467276,14.1067359797,-1.32713440237e-09,400,22.94595432281494,600.0,184.64636778831482,4.65661120774e-11,17.0703,45.55513024330139,3.72529063153e-10,200.0,56.328256607055664,1.0,-1.0477376744e-09,6621.013209104538,1.8394956588745117,400,1.8191719055175781,0.40085530281066895,46.16215634346008,17.0532,0.0,4.1909517523e-10,0.00227437377231,0.00767168517788,0.0,2.83734,2.25,2.83634
0.999236,0.999236,4.99374608886,0.0,0.0096222544089,400,17.61947512626648,100.0,176.3809847831726,0.000108353239193,17.0532,44.88402700424194,-0.000108353146061,0.0,55.468398571014404,0.0,0.0,6798.5642075538635,1.8279495239257812,400,1.7803900241851807,0.37816381454467773,46.562580585479736,17.0532,0.0,9.31322588493e-11,1,0.00133639787107,0.0,2.83634,0.25,2.83634
0.992825,0.992331,27.2717802866,48.218253805,-5.07570918629e-09,400,17.45453119277954,400.0,179.37771797180176,-9.31322241549e-11,16.8153,45.026843547821045,-6.98491986473e-10,700.0,58.484264612197876,5.0,-5.8556897109e-09,6979.168185949326,1.7129645347595215,400,1.735727310180664,0.3813772201538086,45.635300159454346,16.8318,0.0,-7.91624210628e-10,0.00978223945216,0.00353322425633,0.0,2.82229,2.5,2.82327
0.992825,0.993024,40.7054971718,45.0998891351,-5.12227260607e-10,400,15.234453439712524,500.0,177.91616582870483,-1.86264517699e-10,16.838,45.29888582229614,-1.62981447782e-10,700.0,58.631064891815186,4.0,-7.21775250678e-10,7158.215163230896,1.7707209587097168,400,1.7543504238128662,0.4010612964630127,45.639816999435425,16.8318,0.0,-3.49245965481e-10,0.00302623606883,0.00221989288637,0.0,2.82364,4.25,2.82327
0.992825,0.992989,0.0,36.330944111,2.79396755731e-10,400,18.456606149673462,0.0,181.94539141654968,0.0,16.8373,45.045328855514526,0.0,700.0,56.09052777290344,2.25,2.79396755731e-10,7341.367235183716,1.727940559387207,400,1.7060751914978027,0.4127359390258789,46.04075074195862,16.8318,0.0,0.0,0.00952391271183,1,0.0,2.82359,0.0,2.82327
0.992825,0.992786,49.5220910302,9.98749217772,0.00641569355503,400,20.32274317741394,700.0,183.13275527954102,0.000147300754907,16.8303,45.529797315597534,-0.000147299753735,200.0,55.170228004455566,0.5,-4.65661342819e-10,7526.458298206329,1.8209986686706543,400,1.838557481765747,0.46283578872680664,46.41040086746216,16.8318,0.0,1.00117181212e-09,0.00471550403664,0.00652764302914,0.0,2.82318,4.75,2.82327
0.994766,0.994582,11.1551557587,11.1551557587,-2.32830595082e-11,400,21.143121242523193,200.0,190.67475986480713,1.86264503821e-10,16.8911,46.540059328079224,4.6566139833e-11,200.0,60.06245279312134,0.75,-1.16415335705e-10,7718.351030111313,1.9487769603729248,400,1.8081133365631104,0.4462108612060547,48.6469931602478,16.8974,0.0,2.32830643654e-10,0.00133332904066,0.0014204999985,0.0,2.82679,0.75,2.82716
0.994766,0.994312,61.6233519049,42.320207939,1.21794073493e-05,400,26.354372024536133,800.0,195.7918553352356,2.04890931998e-09,16.8818,46.903260469436646,-1.30385124919e-09,800.0,61.51850867271423,3.0,5.3550991419e-10,7915.359662294388,1.8055903911590576,400,1.896134376525879,0.449887752532959,48.48625349998474,16.8974,0.0,7.45058070795e-10,0.00554174488331,0.00316093380984,0.0,2.82623,5.25,2.82716
0.994766,0.994508,54.2396303453,15.7400762387,5.58793622485e-10,400,20.73296880722046,700.0,192.7198507785797,-2.79396776548e-10,16.8886,47.458871603012085,4.65661328941e-11,200.0,62.58796715736389,1.5,3.25962840053e-10,8109.287404298782,1.9405336380004883,400,1.859785556793213,0.4237847328186035,48.06529211997986,16.8974,0.0,-2.32830643654e-10,0.00213164386892,0.0032326127541,0.0,2.82664,5.75,2.82716
0.994766,0.995034,69.4977517622,92.1954445729,9.08039365921e-10,400,20.16967511177063,800.0,190.05938935279846,-2.93948698715e-10,16.9057,47.24997687339783,-1.51339885068e-10,1400.0,60.54397177696228,10.0,3.49245798947e-10,8300.596847295761,1.7506844997406006,400,1.8614075183868408,0.47970128059387207,48.44779109954834,16.8974,0.0,-4.45288583784e-10,0.0175063133385,0.00274836563985,0.0,2.82765,9.75,2.82716
0.994766,0.993948,23.3666428911,32.671662033,0.000116144634376,400,25.83597993850708,300.0,196.50683188438416,1.3895332529e-07,16.8696,48.20493268966675,-1.3895332529e-07,500.0,61.009018659591675,2.75,5.16883957857e-09,8498.336529016495,1.9166450500488281,400,2.0340733528137207,0.41369104385375977,48.83295512199402,16.8974,0.0,0.0,0.00510943917517,0.00259583322167,0.0,2.82551,2.0,2.82716
0.994766,0.995477,95.1314879522,46.340452091,-1.39698433377e-10,400,27.2909939289093,1200.0,196.490980386734,2.21189067062e-10,16.9218,46.977538108825684,5.93718185726e-10,600.0,59.92534327507019,5.25,-2.56113630304e-10,8696.086225032806,1.9160478115081787,400,1.8896307945251465,0.36951255798339844,48.78108811378479,16.8974,0.0,8.14907252789e-10,0.0183216616121,0.00990781870264,0.0,2.8286,10.0,2.82716
0.994766,0.995146,37.2021504755,30.7205143186,-1.62981489416e-10,400,23.202889680862427,500.0,194.85598015785217,9.31322588493e-11,16.9103,46.8636908531189,0.0,500.0,62.4410195350647,2.5,-4.65661467719e-11,8892.163884401321,1.8812487125396729,400,1.8576626777648926,0.4603550434112549,48.71494388580322,16.8974,0.0,9.31322588493e-11,0.00483179173197,0.00621247497594,0.0,2.82792,4.0,2.82716
0.994766,0.994789,43.0921976696,41.0822346033,4.65661287308e-10,400,23.80620765686035,700.0,194.95593118667603,3.72529007642e-10,16.8981,46.82380485534668,2.32830643654e-10,600.0,62.23636984825134,3.5,1.3969835011e-10,9088.381040334702,1.8454632759094238,400,1.824007511138916,0.4459066390991211,48.47695732116699,16.8974,0.0,6.05359651296e-10,0.00386353595763,0.00669831853722,0.0,2.8272,4.25,2.82716
0.994766,0.993934,61.122315892,33.8193731462,2.79396783487e-10,400,20.883410930633545,1000.0,193.52355408668518,-2.32830976721e-11,16.8691,47.280229568481445,5.82076664646e-10,600.0,63.37630343437195,2.5,5.12227482652e-10,9283.066542625427,1.8520517349243164,400,1.8686530590057373,0.44179511070251465,48.162089586257935,16.8974,0.0,5.58793566974e-10,0.00204687152432,0.0155508324079,0.0,2.82548,6.25,2.82716
0.994766,0.995356,58.8637197262,62.0277155794,-9.31321963993e-11,400,22.582353591918945,700.0,191.67221760749817,-1.86264503821e-10,16.9173,46.87107062339783,3.72529035397e-10,900.0,60.08741307258606,5.25,-1.39698252966e-10,9476.020635843277,1.8409149646759033,400,1.8090589046478271,0.4345879554748535,48.38515090942383,16.8974,0.0,1.86264531576e-10,0.0173124082452,0.0100285451388,0.0,2.82834,7.75,2.82716
0.994766,0.99476,51.3997811279,53.4579273822,5.93717919273e-09,400,27.428060293197632,800.0,194.6665735244751,2.56113741326e-10,16.8971,47.09363770484924,2.32830699165e-11,500.0,59.39850091934204,6.5,6.84522039052e-09,9672.902183294296,1.8651235103607178,400,1.9983584880828857,0.41619157791137695,47.52377772331238,16.8974,0.0,2.79396811242e-10,0.00768853225114,0.00194923630489,0.0,2.82714,5.75,2.82716
0.994766,0.994862,14.9812382666,4.99374608886,-1.39698391743e-10,400,17.89018416404724,300.0,163.8855459690094,9.31322519104e-11,16.9006,42.68767261505127,-4.65661287308e-10,100.0,47.71168875694275,0.25,1.39698377866e-10,9837.931739807129,1.6661067008972168,400,1.6408236026763916,0.382596492767334,42.92996263504028,16.8974,0.0,-3.72529035397e-10,0.0011724385967,0.00118215307329,0.0,2.82735,0.75,2.82716
